,combo_num,x_input,x_max,time_to_max_x,y_max,refractory_period
0,A1,0.01,0.01,0,0.1,0
1,A2,0.01,0.01,0,0.1,0
2,A3,0.01,0.01,0,0.1,0
3,A1,0.0143845,0.0143845,0,0.1,0
4,A2,0.0143845,0.0143845,0,0.1,0
5,A3,0.0143845,0.0143845,0,0.1,0
6,A1,0.02069138,0.02069138,0,0.1,0
7,A2,0.02069138,0.02069138,0,0.1,0
8,A3,0.02069138,0.02069138,0,0.1,0
9,A1,0.02976351,0.02976351,0,0.1,0
10,A2,0.02976351,0.02976351,0,0.1,0
11,A3,0.02976351,0.02976351,0,0.1,0
12,A1,0.04281332,0.04281332,0,0.1,0
13,A2,0.04281332,0.04281332,0,0.1,0
14,A3,0.04281332,0.04281332,0,0.1,0
15,A1,0.06158482,0.06158482,0,0.1,0
16,A2,0.06158482,0.06158482,0,0.1,0
17,A3,0.06158482,0.06158482,0,0.1,0
18,A1,0.08858668,0.08858668,0,0.1,0
19,A2,0.08858668,0.08858668,0,0.1,0
20,A3,0.08858668,0.08858668,0,0.1,0
21,A1,0.4,81.91922268082133,3.3089999999997466,134.38423294646608,4.000999999999671
22,A2,0.4,63.64225218145725,2.9659999999997844,13.864502799576002,4.000999999999671
23,A3,0.4,15.992915851089768,3.3089999999997466,4.067804996107593,4.000999999999671
24,A1,0.5455,74.46174731595654,2.3189999999998556,129.28171402707778,4.000999999999671
25,A2,0.5455,51.703436378964746,2.09799999999988,12.788560906183658,4.000999999999671
26,A3,0.5455,10.70974742861509,2.3189999999998556,3.6354895287075046,4.000999999999671
27,A1,0.785,69.35791356150762,1.5539999999999397,124.83956563634577,4.000999999999671
28,A2,0.785,44.76987891979807,1.422999999999954,12.030674739959423,3.957999999999675
29,A3,0.785,8.55834637057617,1.5539999999999397,3.3819309334307497,4.000999999999671
30,A1,1.13,68.68362367680652,1.0549999999999946,124.1808989234749,4.000999999999671
31,A2,1.13,43.89975025228123,0.9760000000000008,11.927352870781755,3.5029999999997252
32,A3,1.13,8.319487410283394,1.0549999999999946,3.3494473380106515,3.6169999999997127
33,A1,1.62,70.85737317190875,0.7290000000000005,126.22379104660224,4.000999999999671
34,A2,1.62,46.95417504062075,0.6800000000000005,12.279676207213022,3.233999999999755
35,A3,1.62,9.180139222286464,0.7290000000000005,3.4619798366621066,3.27999999999975
36,A1,2.34,74.38234905347893,0.5080000000000003,129.2213415167055,4.000999999999671
37,A2,2.34,52.47147170627734,0.47500000000000037,12.864722301514124,3.0719999999997727
38,A3,2.34,10.973339964054121,0.5080000000000003,3.662534751641439,3.0459999999997756
39,A1,3.36,78.12393258065535,0.36100000000000027,131.99898845978976,4.000999999999671
40,A2,3.36,59.039250841116534,0.33700000000000024,13.481828232019067,2.978999999999783
41,A3,3.36,13.64061830531615,0.36100000000000027,3.9000155206398923,2.8929999999997924
42,A1,4.8,81.61654437252176,0.2620000000000002,134.20546010013064,4.000999999999671
43,A2,4.8,65.77737075764931,0.2440000000000002,14.02949258174349,2.922999999999789
44,A3,4.8,17.218947298657678,0.2620000000000002,4.143767539698434,2.7919999999998035
45,A1,6.95,84.84601568446888,0.19100000000000014,135.91036383950316,4.000999999999671
46,A2,6.95,72.37075235627857,0.17700000000000013,14.490665618945577,2.886999999999793
47,A3,6.95,22.008195837407257,0.19100000000000014,4.386046509648525,2.722999999999811
48,A1,10.0,87.61362028535862,0.1430000000000001,137.10208081020545,4.000999999999671
49,A2,10.0,78.17051296945414,0.1310000000000001,14.834222786181252,2.8639999999997956
50,A3,10.0,27.825338428708378,0.1430000000000001,4.6002746648450366,2.679999999999816
